#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
54		0		54	0	その他開発業務形態	対象外	×			その他開発業務形態		ITエンジニア関連職種	経験分野	業務形態	その他開発業務形態
55	Grp1	55	技術系（システム・ネットワーク）	55	55	Webサイト開発		◯	技術系（システム・ネットワーク）	技術領域	Webサイト開発		ITエンジニア関連職種	経験分野	技術領域	Webサイト開発
56	Grp1	56	技術系（システム・ネットワーク）	56	56	ソーシャルメディア		◯	技術系（システム・ネットワーク）	技術領域	ソーシャルメディア		ITエンジニア関連職種	経験分野	技術領域	ソーシャルメディア
57	Grp1	57	技術系（システム・ネットワーク）	57	57	EC		◯	技術系（システム・ネットワーク）	技術領域	EC		ITエンジニア関連職種	経験分野	技術領域	EC
58	Grp1	58	技術系（システム・ネットワーク）	58	58	ソーシャルゲーム		◯	技術系（システム・ネットワーク）	技術領域	ソーシャルゲーム		ITエンジニア関連職種	経験分野	技術領域	ソーシャルゲーム
59	Grp1	59	技術系（システム・ネットワーク）	59	59	IoT		◯	技術系（システム・ネットワーク）	技術領域	IoT		ITエンジニア関連職種	経験分野	技術領域	IoT
60	Grp1	60	技術系（システム・ネットワーク）	60	60	AI		◯	技術系（システム・ネットワーク）	技術領域	AI		ITエンジニア関連職種	経験分野	技術領域	AI
61	Grp1	61	技術系（システム・ネットワーク）	61	61	AR		◯	技術系（システム・ネットワーク）	技術領域	AR		ITエンジニア関連職種	経験分野	技術領域	AR
62	Grp1	62	技術系（システム・ネットワーク）	62	62	VR		◯	技術系（システム・ネットワーク）	技術領域	VR		ITエンジニア関連職種	経験分野	技術領域	VR
63	Grp1	63	技術系（システム・ネットワーク）	63	63	自然言語処理		◯	技術系（システム・ネットワーク）	技術領域	自然言語処理		ITエンジニア関連職種	経験分野	技術領域	自然言語処理
64	Grp1	64	技術系（システム・ネットワーク）	64	64	Win/Macアプリケーション			技術系（システム・ネットワーク）	技術領域	Win/Macアプリケーション		ITエンジニア関連職種	経験分野	技術領域	Win/Macアプリケーション
65	Grp1	65	技術系（システム・ネットワーク）	65	65	iOS開発		◯	技術系（システム・ネットワーク）	技術領域	iOS開発		ITエンジニア関連職種	経験分野	技術領域	iOS開発
66	Grp1	66	技術系（システム・ネットワーク）	66	66	Android開発		◯	技術系（システム・ネットワーク）	技術領域	Android開発		ITエンジニア関連職種	経験分野	技術領域	Android開発
67		0		67	0	EDI	対象外	×			EDI		ITエンジニア関連職種	経験分野	技術領域	EDI
68		0		68	0	CTI	対象外	×			CTI		ITエンジニア関連職種	経験分野	技術領域	CTI
69	Grp1	69	技術系（システム・ネットワーク）	69	69	DWH		◯	技術系（システム・ネットワーク）	技術領域	DWH		ITエンジニア関連職種	経験分野	技術領域	DWH
70		0		70	0	セキュリティ	対象外	×			セキュリティ		ITエンジニア関連職種	経験分野	技術領域	セキュリティ
71		0		71	0	ネットワーク	対象外	×			ネットワーク		ITエンジニア関連職種	経験分野	技術領域	ネットワーク
72		0		72	0	その他技術領域	対象外	×			その他技術領域		ITエンジニア関連職種	経験分野	技術領域	その他技術領域
73		0		73	0	PMBOK	対象外	×			PMBOK		ITエンジニア関連職種	経験分野	開発手法	PMBOK
74		0		74	0	ADSG	対象外	×			ADSG		ITエンジニア関連職種	経験分野	開発手法	ADSG
75		0		75	0	DevOps	対象外	×			DevOps		ITエンジニア関連職種	経験分野	開発手法	DevOps
76		0		76	0	SRE	対象外	×			SRE		ITエンジニア関連職種	経験分野	開発手法	SRE
77		0		77	0	スクラム	対象外	×			スクラム		ITエンジニア関連職種	経験分野	開発手法	スクラム
78		0		78	0	XP	対象外	×			XP		ITエンジニア関連職種	経験分野	開発手法	XP
79		0		79	0	リーンスタートアップ	対象外	×			リーンスタートアップ		ITエンジニア関連職種	経験分野	開発手法	その他アジャイル開発手法
80		0		80	0	その他アジャイル開発手法	対象外	×			その他アジャイル開発手法		ITエンジニア関連職種	経験分野	開発手法	
81		0		81	0	AIX	対象外	×			AIX		ITエンジニア関連職種	開発環境	OS	AIX
82	Grp1	82	技術系（システム・ネットワーク）	82	82	Android		◯	技術系（システム・ネットワーク）	OS	Android		ITエンジニア関連職種	開発環境	OS	Android
83		0		83	0	BSD	対象外	×			BSD		ITエンジニア関連職種	開発環境	OS	BSD
84	Grp1	84	技術系（システム・ネットワーク）	84	84	CentOS		◯	技術系（システム・ネットワーク）	OS	CentOS		ITエンジニア関連職種	開発環境	OS	CentOS
85		0		85	0	Debian	対象外	×			Debian		ITエンジニア関連職種	開発環境	OS	Debian
86		0		86	0	HP-UX	対象外	×			HP-UX		ITエンジニア関連職種	開発環境	OS	HP-UX
87	Grp1	87	技術系（システム・ネットワーク）	87	87	iOS		◯	技術系（システム・ネットワーク）	OS	iOS		ITエンジニア関連職種	開発環境	OS	iOS
88		88		88	88	Mac OS	対象外	◯			Mac OS		ITエンジニア関連職種	開発環境	OS	Mac OS
89		0		89	0	OS/400（AS/400i）	対象外	×			OS/400（AS/400i）		ITエンジニア関連職種	開発環境	OS	OS/400（AS/400i）
90		0		90	0	Raspbian	対象外	×			Raspbian		ITエンジニア関連職種	開発環境	OS	Raspbian
91	Grp1	91	技術系（システム・ネットワーク）	91	91	Red Hat Enterprise Linux		◯	技術系（システム・ネットワーク）	OS	Red Hat Enterprise Linux		ITエンジニア関連職種	開発環境	OS	Red Hat Enterprise Linux
92	Grp1	92	技術系（システム・ネットワーク）	92	92	Slackware		◯	技術系（システム・ネットワーク）	OS	Slackware		ITエンジニア関連職種	開発環境	OS	Slackware
93		0		93	0	Solaris	対象外	×			Solaris		ITエンジニア関連職種	開発環境	OS	Solaris
94	Grp1	94	技術系（システム・ネットワーク）	94	94	Ubuntu		◯	技術系（システム・ネットワーク）	OS	Ubuntu		ITエンジニア関連職種	開発環境	OS	Ubuntu
95	Grp1	95	技術系（システム・ネットワーク）	95	95	Windows OS		◯	技術系（システム・ネットワーク）	OS	Windows OS		ITエンジニア関連職種	開発環境	OS	Windows OS
96	Grp1	96	技術系（システム・ネットワーク）	96	96	Windows Server		◯	技術系（システム・ネットワーク）	OS	Windows Server		ITエンジニア関連職種	開発環境	OS	Windows Server
97		0		97	0	その他Linux系OS	対象外	×			その他Linux系OS		ITエンジニア関連職種	開発環境	OS	その他Linux系OS
98		0		98	0	その他OS	対象外	×			その他OS		ITエンジニア関連職種	開発環境	OS	その他OS
99		0		99	0	ABAP	対象外	×			ABAP		ITエンジニア関連職種	開発環境	言語	ABAP
100		0		100	0	ActionScript	対象外	×			ActionScript		ITエンジニア関連職種	開発環境	言語	ActionScript
101		0		101	0	Apex	対象外	×			Apex		ITエンジニア関連職種	開発環境	言語	Apex
102		0		102	0	BASIC系	対象外	×			BASIC系		ITエンジニア関連職種	開発環境	言語	BASIC系
